Iteration,Residual
2.520000000000000000e+02,4.291180791773914649e+01
2.530000000000000000e+02,4.486776099659899586e+01
2.540000000000000000e+02,4.703724405767259498e+01
2.550000000000000000e+02,4.900203600636504575e+01
2.560000000000000000e+02,4.919637556775244036e+01
2.570000000000000000e+02,4.258491594260258495e+01
2.580000000000000000e+02,4.191453308015950796e+01
2.590000000000000000e+02,4.239064966921866784e+01
2.600000000000000000e+02,4.260878933595181906e+01
2.610000000000000000e+02,4.268202696665637319e+01
2.620000000000000000e+02,4.303920886568857185e+01
2.630000000000000000e+02,4.450311941429477258e+01
2.640000000000000000e+02,4.355225185202785809e+01
2.650000000000000000e+02,4.891749397950051303e+01
2.660000000000000000e+02,4.727827454557665021e+01
2.670000000000000000e+02,5.232531953046556339e+01
2.680000000000000000e+02,4.686452482181289980e+01
2.690000000000000000e+02,4.695354055601985976e+01
2.700000000000000000e+02,4.533618313826718094e+01
2.710000000000000000e+02,4.663130685152584931e+01
2.720000000000000000e+02,4.936109551867759393e+01
2.730000000000000000e+02,5.055809337877860798e+01
2.740000000000000000e+02,4.707943327923098309e+01
2.750000000000000000e+02,4.938295312968094208e+01
2.760000000000000000e+02,4.956891924033251229e+01
2.770000000000000000e+02,4.915655650186149472e+01
2.780000000000000000e+02,4.474301878865239956e+01
2.790000000000000000e+02,4.635372352100873883e+01
2.800000000000000000e+02,4.139087411961648399e+01
2.810000000000000000e+02,4.155192068333232669e+01
2.820000000000000000e+02,4.527703579065948247e+01
2.830000000000000000e+02,4.658329871614175488e+01
2.840000000000000000e+02,4.879247002929402299e+01
2.850000000000000000e+02,4.845178869057178872e+01
2.860000000000000000e+02,4.412192352576589371e+01
2.870000000000000000e+02,4.092807589264744905e+01
2.880000000000000000e+02,3.985127808239089831e+01
2.890000000000000000e+02,4.064379198518152947e+01
2.900000000000000000e+02,4.014707007432541275e+01
2.910000000000000000e+02,4.007535180270116371e+01
2.920000000000000000e+02,3.868798235985872225e+01
2.930000000000000000e+02,3.923315284979930340e+01
2.940000000000000000e+02,4.024352789082807647e+01
2.950000000000000000e+02,3.799854654274466981e+01
2.960000000000000000e+02,3.574962948190244560e+01
2.970000000000000000e+02,3.494988241797739903e+01
2.980000000000000000e+02,3.842285080720570534e+01
2.990000000000000000e+02,3.616567662166894337e+01
3.000000000000000000e+02,3.690837367533475799e+01
3.010000000000000000e+02,3.682354484001110251e+01
3.020000000000000000e+02,3.873730895396738561e+01
3.030000000000000000e+02,3.854840655933049476e+01
3.040000000000000000e+02,3.916077683704035906e+01
3.050000000000000000e+02,4.256098407807670014e+01
3.060000000000000000e+02,4.858512633100131239e+01
3.070000000000000000e+02,5.166600414400236474e+01
3.080000000000000000e+02,4.936253691130526988e+01
3.090000000000000000e+02,5.047206629360108110e+01
3.100000000000000000e+02,5.166559024366990371e+01
3.110000000000000000e+02,5.484673309042455713e+01
3.120000000000000000e+02,5.260937689339267109e+01
3.130000000000000000e+02,5.308671565369552070e+01
3.140000000000000000e+02,5.326585687100617150e+01
3.150000000000000000e+02,4.896584395890132413e+01
3.160000000000000000e+02,4.623484867910386242e+01
3.170000000000000000e+02,5.180289393294062705e+01
3.180000000000000000e+02,5.174584469310659074e+01
3.190000000000000000e+02,5.045878616344007384e+01
3.200000000000000000e+02,5.003448245971566877e+01
3.210000000000000000e+02,4.733060908424421598e+01
3.220000000000000000e+02,4.804490518653379638e+01
3.230000000000000000e+02,5.038098760404620435e+01
3.240000000000000000e+02,4.779659716371561018e+01
3.250000000000000000e+02,4.892442561602770468e+01
3.260000000000000000e+02,4.437020375756756607e+01
3.270000000000000000e+02,4.639252467427002102e+01
3.280000000000000000e+02,4.452765534471429021e+01
3.290000000000000000e+02,4.234572349118812440e+01
3.300000000000000000e+02,3.736601462959617237e+01
3.310000000000000000e+02,4.119235535639209900e+01
3.320000000000000000e+02,4.040020031583103588e+01
3.330000000000000000e+02,3.980170259149956991e+01
3.340000000000000000e+02,3.503628364838078113e+01
3.350000000000000000e+02,3.212983169957946927e+01
3.360000000000000000e+02,3.534745632553509864e+01
3.370000000000000000e+02,3.625284966956331800e+01
3.380000000000000000e+02,3.249847604535311518e+01
3.390000000000000000e+02,3.020103468261302737e+01
3.400000000000000000e+02,3.004554478795716932e+01
3.410000000000000000e+02,2.879987828789115056e+01
3.420000000000000000e+02,2.667769650030619744e+01
3.430000000000000000e+02,2.815158125964396874e+01
3.440000000000000000e+02,2.990269527626073298e+01
3.450000000000000000e+02,3.061574785856275938e+01
3.460000000000000000e+02,2.618237998106896924e+01
3.470000000000000000e+02,2.418561978665277223e+01
3.480000000000000000e+02,2.492111740024581223e+01
3.490000000000000000e+02,2.690252757050308574e+01
3.500000000000000000e+02,2.526509300407158420e+01
3.510000000000000000e+02,2.388727448392597807e+01
3.520000000000000000e+02,2.412853005037200660e+01
3.530000000000000000e+02,2.569416191428896212e+01
3.540000000000000000e+02,2.370223670853147624e+01
3.550000000000000000e+02,2.346369752898563377e+01
3.560000000000000000e+02,2.312800332390674640e+01
3.570000000000000000e+02,2.012086752165481940e+01
3.580000000000000000e+02,1.910624302453494039e+01
3.590000000000000000e+02,1.990495216373094678e+01
3.600000000000000000e+02,1.952406851808207122e+01
3.610000000000000000e+02,1.861058009732199636e+01
3.620000000000000000e+02,1.940117227039388936e+01
3.630000000000000000e+02,1.750226959284822570e+01
3.640000000000000000e+02,1.589803549667202098e+01
3.650000000000000000e+02,1.529992934796083404e+01
3.660000000000000000e+02,1.544943006028136168e+01
3.670000000000000000e+02,1.554754901314564819e+01
3.680000000000000000e+02,1.494640374302385055e+01
3.690000000000000000e+02,1.401531663059713573e+01
3.700000000000000000e+02,1.441402341688034383e+01
3.710000000000000000e+02,1.350048939103880308e+01
3.720000000000000000e+02,1.330508050245063423e+01
3.730000000000000000e+02,1.332737948801345240e+01
3.740000000000000000e+02,1.283500686534468471e+01
3.750000000000000000e+02,1.365764361632012047e+01
3.760000000000000000e+02,1.330578070956500092e+01
3.770000000000000000e+02,1.165241207841827986e+01
3.780000000000000000e+02,1.128011719251474609e+01
3.790000000000000000e+02,1.021707214301680722e+01
3.800000000000000000e+02,9.470711451154500082e+00
3.810000000000000000e+02,9.452766131666425764e+00
3.820000000000000000e+02,9.785507738909648978e+00
3.830000000000000000e+02,9.727477985507100300e+00
3.840000000000000000e+02,9.490279062760265560e+00
3.850000000000000000e+02,9.131883622565261760e+00
3.860000000000000000e+02,8.978759528128234635e+00
3.870000000000000000e+02,9.085653564193789222e+00
3.880000000000000000e+02,8.576574243394508912e+00
3.890000000000000000e+02,7.653323853209163197e+00
3.900000000000000000e+02,7.977961521466385264e+00
3.910000000000000000e+02,8.517716608788017396e+00
3.920000000000000000e+02,8.153357099355698523e+00
3.930000000000000000e+02,7.931059529329063551e+00
3.940000000000000000e+02,8.010852010828493519e+00
3.950000000000000000e+02,8.031345165287836707e+00
3.960000000000000000e+02,7.637392303532770654e+00
3.970000000000000000e+02,7.603991544683279535e+00
3.980000000000000000e+02,7.561570351446583516e+00
3.990000000000000000e+02,7.791546656398968373e+00
4.000000000000000000e+02,7.920174887389087814e+00
4.010000000000000000e+02,8.054987496748371001e+00
4.020000000000000000e+02,8.901225933085930464e+00
4.030000000000000000e+02,8.813026137040587571e+00
4.040000000000000000e+02,9.282678057267244043e+00
4.050000000000000000e+02,8.885363450169787569e+00
4.060000000000000000e+02,8.486638423790410002e+00
4.070000000000000000e+02,7.681830806056443528e+00
4.080000000000000000e+02,8.005469977440627716e+00
4.090000000000000000e+02,7.800688664537203998e+00
4.100000000000000000e+02,8.141789798145435242e+00
4.110000000000000000e+02,8.063893160283209127e+00
4.120000000000000000e+02,8.261491798969402112e+00
4.130000000000000000e+02,8.045717180536332336e+00
4.140000000000000000e+02,7.836113901326724474e+00
4.150000000000000000e+02,7.256191850974135882e+00
4.160000000000000000e+02,7.223912606153275462e+00
4.170000000000000000e+02,7.269769725857987197e+00
4.180000000000000000e+02,7.363676153273049252e+00
4.190000000000000000e+02,7.531933430302775179e+00
4.200000000000000000e+02,8.011029105623379110e+00
4.210000000000000000e+02,7.657401790569189792e+00
4.220000000000000000e+02,7.896829227590621336e+00
