Iteration,Residual
8.000000000000000000e+01,9.724168454776095416e+01
8.100000000000000000e+01,9.632804588211811847e+01
8.200000000000000000e+01,9.289873852309820279e+01
8.300000000000000000e+01,9.322085792341854926e+01
8.400000000000000000e+01,9.981942633043949797e+01
8.500000000000000000e+01,1.070916987270052658e+02
8.600000000000000000e+01,1.099726624520069720e+02
8.700000000000000000e+01,1.193778298664660866e+02
8.800000000000000000e+01,1.179522459229221738e+02
8.900000000000000000e+01,1.218566138891497985e+02
9.000000000000000000e+01,1.116675757345821154e+02
9.100000000000000000e+01,1.085931664412164679e+02
9.200000000000000000e+01,1.042585564983609885e+02
9.300000000000000000e+01,1.103996017190138303e+02
9.400000000000000000e+01,1.119664705498049955e+02
9.500000000000000000e+01,1.197745162219694350e+02
9.600000000000000000e+01,1.258875480228722523e+02
9.700000000000000000e+01,1.428066919494537217e+02
9.800000000000000000e+01,1.343420345633361990e+02
9.900000000000000000e+01,1.349810442733415243e+02
1.000000000000000000e+02,1.249586957982808286e+02
1.010000000000000000e+02,1.182416462513976541e+02
1.020000000000000000e+02,1.179695548809668537e+02
1.030000000000000000e+02,1.132894304187087045e+02
1.040000000000000000e+02,1.094462106210719270e+02
1.050000000000000000e+02,1.089118871152237773e+02
1.060000000000000000e+02,1.050949731693186777e+02
1.070000000000000000e+02,1.053806128082486424e+02
1.080000000000000000e+02,1.068680982013435852e+02
1.090000000000000000e+02,1.135848446319505456e+02
1.100000000000000000e+02,1.171000919038138761e+02
1.110000000000000000e+02,1.163390099968003852e+02
1.120000000000000000e+02,1.219898705428072958e+02
1.130000000000000000e+02,1.142471366179571106e+02
1.140000000000000000e+02,1.154603676620591841e+02
1.150000000000000000e+02,1.121223150919380629e+02
1.160000000000000000e+02,1.063027710767322560e+02
1.170000000000000000e+02,1.032449312144458133e+02
1.180000000000000000e+02,9.814163200428798461e+01
1.190000000000000000e+02,9.253700628235591807e+01
1.200000000000000000e+02,9.745324451341546990e+01
1.210000000000000000e+02,9.283804400563163028e+01
1.220000000000000000e+02,8.997734058313155003e+01
1.230000000000000000e+02,8.904144379590812264e+01
1.240000000000000000e+02,8.891481080460087583e+01
1.250000000000000000e+02,8.827844427271965344e+01
1.260000000000000000e+02,8.654438720036860389e+01
1.270000000000000000e+02,8.547474871492647708e+01
1.280000000000000000e+02,8.626052504937135268e+01
1.290000000000000000e+02,9.446814000582573101e+01
1.300000000000000000e+02,9.410620079320717934e+01
1.310000000000000000e+02,9.157549280331498665e+01
1.320000000000000000e+02,8.547940094009020129e+01
1.330000000000000000e+02,7.592612000092330504e+01
1.340000000000000000e+02,7.109359811570558918e+01
1.350000000000000000e+02,7.137241895808608660e+01
1.360000000000000000e+02,7.254119416739546011e+01
1.370000000000000000e+02,7.309399617914021974e+01
1.380000000000000000e+02,7.428236364917084700e+01
1.390000000000000000e+02,7.457047450760529728e+01
1.400000000000000000e+02,7.481354086105174872e+01
1.410000000000000000e+02,7.857533206744511745e+01
1.420000000000000000e+02,8.343955133509481925e+01
1.430000000000000000e+02,8.334666075772781824e+01
1.440000000000000000e+02,8.456689496338327672e+01
1.450000000000000000e+02,8.050729750561912113e+01
1.460000000000000000e+02,7.629635207735786651e+01
1.470000000000000000e+02,7.234948107027844344e+01
1.480000000000000000e+02,7.156846371962845410e+01
1.490000000000000000e+02,6.891420206923336877e+01
1.500000000000000000e+02,7.328959821585787893e+01
1.510000000000000000e+02,7.297145904087254564e+01
1.520000000000000000e+02,7.497583700740253221e+01
1.530000000000000000e+02,7.553621286830072279e+01
1.540000000000000000e+02,7.938091317783123202e+01
1.550000000000000000e+02,8.042700931051652447e+01
1.560000000000000000e+02,8.937523591849465276e+01
1.570000000000000000e+02,8.599214931025314002e+01
1.580000000000000000e+02,8.453362023509995993e+01
1.590000000000000000e+02,8.057981103664810973e+01
1.600000000000000000e+02,7.806898497423891570e+01
1.610000000000000000e+02,7.855814798721704051e+01
1.620000000000000000e+02,8.019445026861819770e+01
1.630000000000000000e+02,7.898379449814844122e+01
1.640000000000000000e+02,7.850273998342647985e+01
1.650000000000000000e+02,7.611064092116177449e+01
1.660000000000000000e+02,7.416581821961294452e+01
1.670000000000000000e+02,7.265272031212047921e+01
1.680000000000000000e+02,7.549299591493631567e+01
1.690000000000000000e+02,6.981382828048096201e+01
1.700000000000000000e+02,7.298232577190101722e+01
1.710000000000000000e+02,7.159836538485937751e+01
1.720000000000000000e+02,7.043741843004599446e+01
1.730000000000000000e+02,6.816413908929163767e+01
1.740000000000000000e+02,6.841152226526297397e+01
1.750000000000000000e+02,6.644647689246420441e+01
1.760000000000000000e+02,6.798289389001136840e+01
1.770000000000000000e+02,6.631084888900416274e+01
1.780000000000000000e+02,5.946155799500802885e+01
1.790000000000000000e+02,5.928619952638021573e+01
